CODIGO,NOMBRE,NOMBRE PROVEEDOR,OBSERVACIONES,MEDIDA,CODIGO DE BARRAS,COD REFERENCIA
135659011,ABRAZADERA ARMA PRIMOS TRIGGER STICK APEX,"BORCHERS, SA",,,10135659011,7705112
OL0410000,ACEITE BERETTA GUN OIL,"BERETTA BENELLI IBERICA, SA",125ML,125ML,"8,05E+12",
832562343,ACEITE BERETTA OLIO 25ML,"BERETTA BENELLI IBERICA, SA",,25ML,"8,05E+12",OL320000020011UNI
803385449,ACEITE BERETTA PARA MADERA,"BORCHERS, SA",,90ML,"8,03E+12",OL400000010010UNI
80412497,ACEITE BLASER MANTENIMIENTO MADERA,"BLASER OUTDOOR GROUP, SL",,,"4,07E+12",80412497
425039234,ACEITE DE ANIS CORZO EUROHUNT,EUROHUNT GMBH,,100ML,"4,25E+12",590203
ABABSIL35,ACEITE DE SILICONA ABBEY 35 (30 ml),"SKYWAY TECHNOLOGY, SA",,,"5,06E+12",ABABSIL35BTL
842342922,ACEITE ESPECIAL EXCOPESA CON GRAFITO,,,150ML,"8,42E+12",7000000000
23614660,ACEITE LEGIA SPRAY ESPECIAL MADERA,"AGUIRRE Y CIA, SA",,200ML,23614664550,
23614355,ACEITE LEGIA SPRAY METAL,"AGUIRRE Y CIA, SA",TAPON ROJO,200ML,23614357285,
285000689,ACEITE LIMPIADOR DE ARMA 4 OZ HOPPES,"BORCHERS, SA",,,26285000689,HBC4E
80100249,ACEITE LIMPIEZA ARMAS BLASER (BALLISTOL),"BLASER OUTDOOR GROUP, SL",,,80100249,80100249
HOPPE2345,ACEITE LUBRICANTE PARA ARMAS HOPPE´S,"BORCHERS, SA",,118ML,26285517996,1004
590306816,ACEITE LUBRICANTE+GRASA WELLGUN PARA ARMAS,"COMERCIAL EL CALDEN, SL",,75ML,"5,90E+12",WG-003
26285515,ACEITE PARA ARMAS HOPPE´S,"BORCHERS, SA",,60ML,26285517545,
676000633,ACEITE PARA CARABINAS GAMO 25ML,"GAMO OUTDOOR, SL",,,"7,94E+11",6212410
9216,ACEITE TRU OIL GUN STOCK FINISH,"EISPORT, SL",,,9216,9216
285510423,ACEITE Y LUBRICANTE PARA ARMAS HOPPE 67ML,"BORCHERS, SA",,,26285510423,1003
86285001,ACEITE Y LUBRICANTE PARA ARMAS HOPPE´S BLACK 118ML,"BORCHERS, SA",,118ML,26285002027,HBL4B
00000KITA,ADAPTADOR 4 STABLESTICKS DELANTERO,"BORCHERS, SA",,,00000KITA,KITA
00000KITB,ADAPTADOR 4STABLESTICKS BUSH STICK SWING/MONTAIN,"BORCHERS, SA",,,00000KITB,KITB
00ARM5262,ADAPTADOR 62 CLIP-ON RUSAN ARM52 THUNDER,"COMERCIAL EL CALDEN, SL",,,ARM52-62,ARM52-62
26439822,ADAPTADOR 65 CLIP-ON RUSAN ARM52,"COMERCIAL EL CALDEN, SL",,,"3,86E+12",ARM52-65
