ID Producto,ID Combinacion,Nombre del Producto,Referencia,EAN,"Atributos (Ej: XL, Roja)",Stock
9910,0,Navaja Blaser Ultimate Carbon,80414849,4066481067891,,1
9909,0,Visor Zeiss Varipoint 1.1-4x24(PL),,,,1
9908,0,Monocular térmico HIKMICRO Lynx LE15(PL),,,,1
9907,15004,Gorra Blaser Spain Nacional 26,80417586,4067999012595,"Oliva, U",2
9906,15003,Mochila Blaser Canvas 35L,80414880,4066481067587,Marrón,1
9905,0,Visor Burris Fullfield 3-12x56,,,,1
9902,0,Visor térmico HIKMICRO Stellar SQ50 (PL),,,,1
9901,0,Gorra Browning Rosa Blaze,308144511,23614843092,,4
9900,0,Gorra Browning Big Buckmarck Negro,308204211,23614384496,,1
9899,0,Gorra Browning Duck Fever Max4,30861757,23614764724,,2
9898,0,Monocular térmico Nocpix Clip-On MATE 2 MH38R,MH38R,,,3
9897,0,Gorra Browning Ibex Marrón,308202603,634957231240,,2
9896,0,Casco Browning Compact,126101990,23614751939,,3
9895,0,Monocular Nocpix MATE 2 ULTRA MS60R,MS60R,,,3
9894,14996,Rifle Thompson/Center Encore (PL),,,243,1
9893,14994,Rifle Marlin X7 (SA),,,243,1
9892,0,Monocular térmico Nocpix Clip-On MATE 2 LITE ML38,,,,3
9891,14992,Rifle Sauer 100 (PL),,,300,1
9890,14989,Rifle Remington Model 700 (PL),,,300 win ,1
9889,14987,Rifle Winchester XPR de segunda mano (PL),,,300,1
9888,14985,Rifle exprés Beretta Silver Sable II (SA),,,"9,3X74R , Express",1
9887,14983,Rifle Mannlicher Classic (SA),,,30-06,1
9886,14981,Rifle Browning X-Bolt (SA),,,270 wsm,1
9885,14979,Rifle Browning BAR 4X Platinum de segunda mano (PL),,,"30-06, Semiautomático ",1
9884,14978,Rifle Blaser K95 (SA),,,270,1
9883,14975,Escopeta Perazzi MX6 (SA),,,75,1
9882,14962,Rifle Benelli Lupo Granite Moss,,,"30-06, 56",5
9882,14963,Rifle Benelli Lupo Granite Moss,,,"30-06, 51",5
9882,14964,Rifle Benelli Lupo Granite Moss,,,"300, 65",5
9882,14965,Rifle Benelli Lupo Granite Moss,,,"308 win, 56",5
