CODIGO;NOMBRE;C.FAM.;NOMBRE FAMILIA;C.PRO.;NOMBRE PROVEEDOR;OBSERVACIONES;UBICACION;MEDIDA;CLASIFICACION;COMPRAS;VENTAS;CODIGO DE BARRAS;REFERENCIA PROVEEDOR
GB2994000VARUNI;BALA GB SLUG (10 uds);2;MUNICION;23;SOFIAM IBERICA, SL;;;;;6000000000;7000000000;8,4351E+12;G2994000007 
832649457AZUUNI;BOLSA BERETTA PORTACARTUCHOS GAMEKEEPER EVO 150;3;ROPA Y TEXTIL;6;BERETTA BENELLI IBERICA, SA;;;;;6000000000;7000000000;8,05183E+12;25000249OL0000
832649457VERUNI;BOLSA BERETTA PORTACARTUCHOS GAMEKEEPER EVO 150;3;ROPA Y TEXTIL;6;BERETTA BENELLI IBERICA, SA;;;;;6000000000;7000000000;832649457VERUNI;
832649457AUXUNI;BOLSA BERETTA PORTACARTUCHOS GAMEKEEPER EVO 150;3;ROPA Y TEXTIL;6;BERETTA BENELLI IBERICA, SA;;;;;6000000000;7000000000;832649457AUXUNI;
000000547AMAUNI;BOLSA DE TIRO BENISPORT AMARILLA;3;ROPA Y TEXTIL;37;JOSE MONLLOR, SL;;;;;6000000000;7000000000;000000547AMAUNI;
000000547AZUUNI;BOLSA DE TIRO BENISPORT AZUL;3;ROPA Y TEXTIL;37;JOSE MONLLOR, SL;;;;;6000000000;7000000000;000000547AZUUNI;
000000547NARUNI;BOLSA DE TIRO BENISPORT NARANJA;3;ROPA Y TEXTIL;37;JOSE MONLLOR, SL;;;;;6000000000;7000000000;000000547NARUNI;
000000547SSSUNI;BOLSA DE TIRO BENISPORT NEGRA;3;ROPA Y TEXTIL;37;JOSE MONLLOR, SL;;;;;6000000000;7000000000;000000547SSSUNI;
000000547NEGUNI;BOLSA DE TIRO BENISPORT NEGRA;3;ROPA Y TEXTIL;37;JOSE MONLLOR, SL;;;;;6000000000;7000000000;000000547NEGUNI;
000000547ROJUNI;BOLSA DE TIRO BENISPORT ROJA;3;ROPA Y TEXTIL;37;JOSE MONLLOR, SL;;;;;6000000000;7000000000;8,42792E+12;547R
000000547VERUNI;BOLSA DE TIRO BENISPORT VERDE;3;ROPA Y TEXTIL;37;JOSE MONLLOR, SL;;;;;6000000000;7000000000;8,42792E+12;547K
P89750000VAR036;BOTA AIGLE ALTAVIO MID GTX 36;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;P89750000VAR036;P8975
P89750000VAR037;BOTA AIGLE ALTAVIO MID GTX 37;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;P89750000VAR037;P8975
P89750000VAR040;BOTA AIGLE ALTAVIO MID GTX 40;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;P89750000VAR040;P8975
P89750000VAR041;BOTA AIGLE ALTAVIO MID GTX 41;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;3,24658E+12;P8975
P89750000VAR042;BOTA AIGLE ALTAVIO MID GTX 42;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;3,24658E+12;P8975
P89750000VAR043;BOTA AIGLE ALTAVIO MID GTX 43;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;3,24658E+12;P8975
P89750000VAR044;BOTA AIGLE ALTAVIO MID GTX 44;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;3,24658E+12;P8975
P89750000VAR045;BOTA AIGLE ALTAVIO MID GTX 45;0;GENERAL;31;TIM SPORT, SL;MARRON/SEPIA;;;;6000000000;7000000000;3,24658E+12;P8975
01680085GMAR042;BOTA BERETTA 4 LOW 42;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;;;;;6000000000;7000000000;8,05183E+12;25000194OL0000
01680085GMAR043;BOTA BERETTA 4 LOW 43;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;;;;;6000000000;7000000000;8,05183E+12;25000194OL0000
ST3910000VAR040;BOTA BERETTA ARABUKO GTX BROWN 40;0;GENERAL;;;MARRON VERDOSO;;;;6000000000;7000000000;8,05183E+12;st391l0115085g7.5
ST3910000VAR041;BOTA BERETTA ARABUKO GTX BROWN 41;0;GENERAL;;;MARRON VERDOSO;;;;6000000000;7000000000;8,05183E+12;ST391
ST3910000VAR042;BOTA BERETTA ARABUKO GTX BROWN 42;0;GENERAL;;;MARRON VERDOSO;;;;6000000000;7000000000;8,05183E+12;ST391
ST3910000VAR043;BOTA BERETTA ARABUKO GTX BROWN 43;0;GENERAL;;;MARRON VERDOSO;;;;6000000000;7000000000;8,05183E+12;st391l0115085g10
ST3910000VAR044;BOTA BERETTA ARABUKO GTX BROWN 44;0;GENERAL;;;MARRON VERDOSO;;;;6000000000;7000000000;8,05183E+12;st391l0115085g10.5
ST3910000VAR045;BOTA BERETTA ARABUKO GTX BROWN 45;0;GENERAL;;;MARRON VERDOSO;;;;6000000000;7000000000;ST3910000VAR045;ST391
ST3910000VAR046;BOTA BERETTA ARABUKO GTX BROWN 46;0;GENERAL;;;MARRON VERDOSO;;;;6000000000;7000000000;8,05183E+12;st391l0115085g12.5
ST4510000VAR040;BOTA BERETTA BRYCE GTX BOOT FOREST NIGHT 40;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VEREDE/NEGRO;;;;6000000000;7000000000;8,05183E+12;ST451
ST4510000VAR041;BOTA BERETTA BRYCE GTX BOOT FOREST NIGHT 41;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VEREDE/NEGRO;;;;6000000000;7000000000;8,05183E+12;ST451
ST4510000VAR042;BOTA BERETTA BRYCE GTX BOOT FOREST NIGHT 42;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VEREDE/NEGRO;;;;6000000000;7000000000;8,05183E+12;ST451
ST4510000VAR043;BOTA BERETTA BRYCE GTX BOOT FOREST NIGHT 43;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VEREDE/NEGRO;;;;6000000000;7000000000;8,05183E+12;ST451
ST4510000VAR044;BOTA BERETTA BRYCE GTX BOOT FOREST NIGHT 44;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VEREDE/NEGRO;;;;6000000000;7000000000;8,05183E+12;st451l013007a610.5
ST4510000VAR045;BOTA BERETTA BRYCE GTX BOOT FOREST NIGHT 45;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VEREDE/NEGRO;;;;6000000000;7000000000;8,05183E+12;st451l013007a611.5
ST4510000VAR046;BOTA BERETTA BRYCE GTX BOOT FOREST NIGHT 46;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VEREDE/NEGRO;;;;6000000000;7000000000;8,05183E+12;st451l013007a612.5
ST381L015MAR036;BOTA BERETTA CHOBE GTX BROWN 36;0;GENERAL;6;BERETTA BENELLI IBERICA, SA;VERDE/NEGRO;;;;6000000000;7000000000;ST381L015MAR036;L01131
